"UID","uuid","sector","facility_id"
"XGZY","92cb18e6ade48e6725126ae6c15a04db","E","EXGZY"
"FUHL","6546fb4ff7e47054d3dd1f22e931b1d5","E","EFUHL"
"YONS","5c2e81fbe6c95aa2956bdb2cb977aab9","E","EYONS"
"AJKK","b52a1b7c20f5871e0f6e9e3f168902eb","E","EAJKK"
"IXLI","453cb7c3a65ea6f06f72ce487c2e50d7","E","EIXLI"
"CSRT","7dfb14aef325e1b1c562fc881f556807","E","ECSRT"
"VZGF","e7fdb91b0789b964995f6b67383bb6e6","E","EVZGF"
"HQMS","9738209e8c566435b89a4b06949a51fa","E","EHQMS"
"KGED","cacba242ccee39b2b37a5666ec30e219","E","EKGED"
"WXJG","deb82879bf2fb95d0195543d05ccb4af","E","EWXJG"
"WYFG","5e2c3d125f6744b99fcda834382a8285","E","EWYFG"
"PVNB","6aadd44f4ffa60cc69ce57c132a29f7b","E","EPVNB"
"CERK","a8428b318ddd4ff680f176ab49b63cff","E","ECERK"
"UACV","f0524bb9ca690890a32e4ad3de497f8a","E","EUACV"
"KSEJ","2201b3a637e1e4632158f13f301ff7f1","E","EKSEJ"
"MXUZ","8624598d07dcf158b6abd6e23276b00e","E","EMXUZ"
"SDMQ","ed38eb061374a6e249ee045239a4aac4","E","ESDMQ"
"HLJD","f6dea19b8cc98404a83f03059cc9514e","E","EHLJD"
"KDLM","c7d016697c8115b7a854b8a731284f9f","E","EKDLM"
"RNAY","d69ab87a294eadb814456e61b25edb28","E","ERNAY"
"BTJZ","9bed33e6912ad64755fe7680e847b8d6","E","EBTJZ"
"WOAT","574f0659e2a3f3f9dcb1c22a7aac3b43","E","EWOAT"
"RPFL","068ce05de8187a60f4ad4afc9d7833f4","E","ERPFL"
"HEWD","f3017700e3ebc9dbb1f180964295937d","E","EHEWD"
"TVIA","3f474b8254d9505f4341898ef5313c2d","E","ETVIA"
"PPPS","4015ce7c48482ce761f40f708c8ecce7","E","EPPPS"
"BTRC","ddafd990c76d437d5d881ed6477c393a","E","EBTRC"
"MPQQ","f04e2842e19431dcf2104c97189f17f7","E","EMPQQ"
"QIPM","4631e7ba168bece45a14fe9519aa2cf0","E","EQIPM"
"DDQT","8b707f1412d81f0c9ef9a1d23b24ba70","E","EDDQT"
"MTUL","de3c326a283fd7437e25ccf3d07bf722","E","EMTUL"
"TNYF","1ce6d88143288df7c886dd3922a52f39","E","ETNYF"
"BCAC","6f8599fffd502f5f87d79a9d1e4e8a9e","E","EBCAC"
"OODY","c52fc036e99e245e5dac6a7b392cf4b0","E","EOODY"
"RMRN","2cd5cf84bf99c4f1a5cb9a4f54bd65b4","E","ERMRN"
"USPZ","fb2d0954093a500dd822161b61e6a7bb","E","EUSPZ"
"ZKTR","0d75cf5696852a074dc8d6afd610a6ac","E","EZKTR"
"QYSC","7e1f906b2630dd5fb094b63f6e011263","E","EQYSC"
"LJZP","528561515686beef0eaf105ec15daffd","E","ELJZP"
"QEOI","96a380395c6e9c29de87836a249aceb4","E","EQEOI"
"OFUL","d239c5a2ae8aa1932353172dedb12ef4","E","EOFUL"
"TEAN","3cfd1ffc2357863966b350b53006ef78","E","ETEAN"
"UFSE","e12d6d8ab78ad71adda53af20ed5d03b","E","EUFSE"
"PXTN","4f141a5060c02cca8750e7a31f5d2bb5","E","EPXTN"
"OWYB","370ce7eb93278be47124cf1a07b2fd46","E","EOWYB"
"DSFH","5ba22ef91d6aa58ddfc4de3cfc5401fe","E","EDSFH"
"BTNF","632d9858c22cb98b6ddcd01062192520","E","EBTNF"
"SLKH","e051ac3252f255c077c5d9d63dd88037","E","ESLKH"
"QWGX","806959f8d12747dc0b3c313022efee66","E","EQWGX"
"FOPL","a201f0b3046ca44be63266055729df44","E","EFOPL"
"DCHU","d632ea00fa48765de2a52fe617a1625d","E","EDCHU"
"FCXW","13d377b3fcaf77463a362ed9ae8ce314","E","EFCXW"
"LETK","8c3ad6d5dcd6d05972e50b18ed317bf3","E","ELETK"
"BDRB","a96d9d5442153b395936119ba2588067","E","EBDRB"
"JSSI","f4dd31da3d204c6c06bbcda84af56010","E","EJSSI"
"NBVS","8ba43bb7e1d89f3a5fa06206c8469525","E","ENBVS"
"SDUI","f78650b805617bdf48fa7bab467f8589","E","ESDUI"
"AAKQ","5cd679c432f82a57aac3c41436a1ddb0","E","EAAKQ"
"CBWV","31fee941998002bd4d41fe41012ef3c2","E","ECBWV"
"DUGT","5884eebb79fa8bdddb90770bf06624ae","E","EDUGT"
"RATP","3cfcc1249c40c72a79511fb45b9682f0","E","ERATP"
"DDCN","f6a7782c3e432e127f2153353f3d9673","E","EDDCN"
"NUCK","b05bbdb22a0fec56fb4d399f5ea82aa0","E","ENUCK"
"ETRF","e25f0cf36cabc4a2a0745e6de5ed7052","E","EETRF"
"EFLN","406d530a366787fb890020214689c1c4","E","EEFLN"
"KKMN","6c3ab9c8b17ac132f17fc4f9274d7c94","E","EKKMN"
"ZGQO","871ac379052dd3a1049c96a2ddbcc44e","E","EZGQO"
"ZGJD","e708dca7606fc107ea7188f75b726696","E","EZGJD"
"VFRG","6d4543503c957fd3a2b2bb292fdfa0ea","E","EVFRG"
"QCRS","96caaef9b4f11355fc6c0d45261c3e02","E","EQCRS"
"ZPZY","b5dd9476873b48ae78de1632aa0146b2","E","EZPZY"
"FRPC","bb48715e37359a5857588eb5a7d5d74e","E","EFRPC"
"ESVT","321e743721d6335e8332c8f42d4b0a57","E","EESVT"
"RNQY","a65c7ae11087c8e2efa632be8f8304d8","E","ERNQY"
"PDHV","2ad64bf5011137e4bdac8e671d1117d0","E","EPDHV"
"ZHAI","794657d46dc6d0841eb50be5a37b5451","E","EZHAI"
"PXWQ","79d5bcec704fba96a9558f4030feb226","E","EPXWQ"
"FEUY","219a9572bb658d80436df4a6fd8c6a8e","E","EFEUY"
"UKUY","fc38893fa19e315b7039a517e5a1898a","E","EUKUY"
"PSVI","6ff02d3ccd7fd921d4c32cf00e5e65f4","E","EPSVI"
"ZIVG","28cbb545814a1019a45e9b43d373e7bc","E","EZIVG"
"PUHE","0bd73b931c2bcb1c152e5f36931cf825","E","EPUHE"
"QRJI","fef8ee519fc82ab5bf82edaa2c8105a7","E","EQRJI"
"ORGN","ed4659c00699277488741f5ad8288c79","E","EORGN"
"SHAY","66552b14dfedfa7e3ee8523f9106932b","E","ESHAY"
"EGHN","d92c190ddfcbcb9e3870567904365f3b","E","EEGHN"
"RBSG","ba1f2b2658d7d99e11184f70031bee7e","E","ERBSG"
"AVKD","a5f70475ed4c67d0d99c5f5ed43ec3ff","E","EAVKD"
"EQKQ","bd8274226883ca145641c059d1985f02","E","EEQKQ"
"MODK","926087379a47890705ef5e651d45820d","E","EMODK"
"WUXR","8cb26e33df3bae3932ef747cb22e62c9","E","EWUXR"
"VWTL","7a03a350068f6aad495e42ecc9ffa81d","E","EVWTL"
"BJSD","7a92c1efaaf9f7b8e5469d8b7a785e2f","E","EBJSD"
"QRDL","5b4278f878ed9bc35c5ac5373c0f0262","E","EQRDL"
"JCNY","ab9bf083e20d4c1429449a64ad4ed1ba","E","EJCNY"
"DVUT","8efbdf2ba3ee4b01bfe45bcab42e2e00","E","EDVUT"
"VHGY","cc1e1d32c765e4f141702ef18164bf0c","E","EVHGY"
"UURP","a349722f0d97908009a3e5d0a610d941","E","EUURP"
"HNVC","3d3483c89625b638641c3d86d9d27966","E","EHNVC"
"PJLG","5cf377f2d1352fea6c8fcaf8d3dfdfba","E","EPJLG"
"UXRJ","8686e0122ea1ce3069127ab55405f49f","E","EUXRJ"
"VMHY","45ce81db1b44d6d343c52a99b0b6465a","E","EVMHY"
"IAQN","cdf73203999be7340941925e1431e506","E","EIAQN"
"YGGI","36152bb8072a92beed51f659ba020a5c","E","EYGGI"
"SUFH","16af9d549c1976a32c06f15cfd4375dc","E","ESUFH"
"IPGS","a15cb41f8832e63d0bccc9e5a84a310a","E","EIPGS"
"VMHE","cf18d9fee07b57d09573f40734e66a93","E","EVMHE"
"FORB","2a2375198af358acd3ce47c7a5d5bfa3","E","EFORB"
"UAQB","948c62e6790015a543d6935c3ac2d111","E","EUAQB"
"AXXJ","0a3d4a0f54355b8d99362c4e02b5dc50","E","EAXXJ"
"YTTH","c5c6d6f44582be661f9c73d1068a0cf6","E","EYTTH"
"FWZE","24bda3e8d943868ea2a4f8e9f2a43b4f","E","EFWZE"
"GTRG","b3c8fca86880b279a8c2c8c3d989f978","E","EGTRG"
"FSAU","381baaba28cd17fe000324ced2bcf65c","E","EFSAU"
"HGSN","eb41a236207d7baf15921ea97482a4f1","E","EHGSN"
"PPAE","df60165dbcdbff3218afac2dae49a6e7","E","EPPAE"
"HUKD","61cb3d171292d145a775309c7e4669d9","E","EHUKD"
"WXMI","da865231832dee915cca903d21710e0b","E","EWXMI"
"FMEN","fcb4ba811da9dcc11633ec64fe21f487","E","EFMEN"
"HJSR","e9532261bb7a539b46e7ab3e3718a2d8","E","EHJSR"
"VZOC","7318b4af8383855b37366f7d75d5adb4","E","EVZOC"
"LICD","7e3966a9891f9a919f7ede2894974868","E","ELICD"
"XBIB","aa3aa921f5296556b7a3ad1c54f1f218","E","EXBIB"
"WTDY","22be5f0300e529e3762f180d2a29be6b","E","EWTDY"
"JDNR","bc370a006e20edbccfb77d7c2cbdab12","E","EJDNR"
"CCMC","c13793a68cd462077c52507c1aac270f","E","ECCMC"
