"lga_id","state","lga","unique_lga","pop_2006","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga_2013","longitude","latitude"
16,"Ebonyi","Afikpo North","ebonyi_afikpo_north",156611,"Southeast",240.1574665,"Others",652.117971939049,"ebonyi_afikpo_north",7.92339649751923,5.87842850822469
17,"Ebonyi","Afikpo South","ebonyi_afikpo_south",157072,"Southeast",377.6751961,"113",415.891754666385,"ebonyi_afikpo_south",7.81363733967737,5.83719147214255
18,"Niger","Agaie","niger_agaie",132907,"North-Central",1904.354705,"Others",69.7910949315506,"niger_agaie",6.44045920996512,8.9462353521898
19,"Benue","Agatu","benue_agatu",115523,"North-Central",1014.608427,"Others",113.859689044353,"benue_agatu",7.88215837480545,7.86983845205808
20,"Niger","Agwara","niger_agwara",57413,"North-Central",1539.668996,"148",37.2891836811397,"niger_agwara",4.52764087244373,10.7410217674436
21,"Lagos","Agege","lagos_agege",459939,"Southwest",11.21455704,"Others",41012.6765024684,"lagos_agege",3.31600267249861,6.62357986433353
22,"Anambra","Aguata","anambra_aguata",370172,"Southeast",195.1025738,"Others",1897.31992146584,"anambra_aguata",7.08804330219091,5.98862093750357
23,"Imo","Ahiazu-Mbaise","imo_ahiazu_mbaise",170902,"Southeast",113.7162833,"Others",1502.8806345098,"imo_ahiazu_mbaise",7.26418199347383,5.56020000654398
24,"Rivers","Ahoada East","rivers_ahoada_east",166747,"South-South",341.173834,"Others",488.744983884081,"rivers_ahoada_east",6.64101979571869,5.06535918868056
25,"Rivers","Ahoada West","rivers_ahoada_west",249425,"South-South",403.4593903,"Others",618.215874996825,"rivers_ahoada_west",6.51660568502445,5.05176307681746
26,"Kogi","Ajaokuta","kogi_ajaokuta",122321,"North-Central",1362.399481,"113",89.7835045490597,"kogi_ajaokuta",6.59639020160477,7.51474121433553
27,"Lagos","Ajeromi-Ifelodun","lagos_ajeromi_ifelodun",684105,"Southwest",12.34939094,"148",55395.8493438058,"lagos_ajeromi_ifelodun",3.33748150163207,6.4535619255659
28,"Kano","Ajingi","kano_ajingi",174137,"Northwest",713.7992546,"Others",243.957945988026,"kano_ajingi",9.06909276962454,11.9731312990524
29,"Cross River","Akamkpa","cross_river_akamkpa",151125,"South-South",5001.719905,"Others",30.2146067493557,"cross_river_akamkpa",8.53398000844208,5.40945642838046
30,"Oyo","Akinyele","oyo_akinyele",211359,"Southwest",518.8703114,"Others",407.344562516436,"oyo_akinyele",3.93139438970376,7.56243228712388
31,"Gombe","Akko","gombe_akko",337853,"Northeast",2624.324378,"113",128.739039591393,"gombe_akko",11.0455625728425,10.1083634089011
32,"Edo","Akoko-Edo","edo_akoko_edo",262110,"South-South",1371.71971,"148",191.081310627227,"edo_akoko_edo",6.1341955977486,7.36289273064809
33,"Ondo","Akoko North East","ondo_akoko_north_east",175409,"Southwest",372.5399552,"113",470.846140263883,"ondo_akoko_north_east",5.81842667514553,7.53863608659573
34,"Ondo","Akoko North West","ondo_akoko_north_west",213792,"Southwest",512.7781109,"Pilot",416.928873240638,"ondo_akoko_north_west",5.79453024320805,7.64269261547888
35,"Ondo","Akoko South West","ondo_akoko_south_west",229486,"Southwest",530.374779,"Others",432.686487152889,"ondo_akoko_south_west",5.68756777925591,7.39835008179205
36,"Ondo","Akoko South East","ondo_akoko_south_east",82426,"Southwest",225.6997583,"Others",365.201986129021,"ondo_akoko_south_east",5.90876758597484,7.42970301330999
37,"Cross River","Akpabuyo","cross_river_akpabuyo",271395,"South-South",807.2272151,"Others",336.206454543755,"cross_river_akpabuyo",8.49195440461425,4.88998512925806
38,"Rivers","Akuku Toru","rivers_akuku_toru",156006,"South-South",1443.84585,"113",108.0489305697,"rivers_akuku_toru",6.67978356783617,4.53174484318213
39,"Ondo","Akure North","ondo_akure_north",131587,"Southwest",660.5878138,"148",199.196832353071,"ondo_akure_north",5.3142653969916,7.26673543230026
40,"Ondo","Akure South","ondo_akure_south",353211,"Southwest",331.7273761,"Others",1064.76289099976,"ondo_akure_south",5.20212133033271,7.21053258921156
41,"Nasarawa","Akwanga","nasarawa_akwanga",113430,"North-Central",995.9315374,"113",113.893370919976,"nasarawa_akwanga",8.34090115970381,9.0201699122531
42,"Kano","Albasu","kano_albasu",190153,"Northwest",398.1321219,"Others",477.612806252697,"kano_albasu",9.1203251758151,11.6263907329367
43,"Kebbi","Aliero","kebbi_aliero",65972,"Northwest",350.836564,"Others",188.041973869063,"kebbi_aliero",4.43115904606225,12.3094179339645
44,"Lagos","Alimosho","lagos_alimosho",1277714,"Southwest",185.4670447,"Others",6889.1699981889,"lagos_alimosho",3.25879096518525,6.57439577399939
45,"Bauchi","Alkaleri","bauchi_alkaleri",329424,"Northeast",5913.769484,"148",55.7045723360157,"bauchi_alkaleri",10.475784596696,9.88005840833261
